facility_id,name,country_iso3,country,location,lat_lon,type,status,lithium_form,coproducts_byproducts,companies,evidence_tier,source_file
arg-cauchari-olaroz-fac,Cauchari Olaroz Mine,ARG,Argentina,"Jujuy, Argentina","-23.4270, -66.6470",mine,unknown,Lithium,,Ganfeng Lithium Co. Ltd.; Jujuy Energía y Minería Sociedad del Estado (JEMSE); Lithium Argentina AG; Minera Exar S.A.,A,facilities/ARG/arg-cauchari-olaroz-fac.json
arg-centenario-ratones-fac,Centenario Ratones Mine,ARG,Argentina,"Salta, Argentina","-24.0000, -66.0000",mine,unknown,,,Eramet; Eramine Sudamerica; Eramine Sudamérica SA; Tsingshan Holding Group,C,facilities/ARG/arg-centenario-ratones-fac.json
arg-f-nix-project-fac,Fénix Mine,ARG,Argentina,"Catamarca, Argentina","-25.5000, -66.5000",mine,unknown,,,Arcadium Lithium plc; Minera del Altiplano S.A.; Rio Tinto plc,C,facilities/ARG/arg-f-nix-project-fac.json
arg-mariana-fac,Mariana Mine,ARG,Argentina,"Salta, Argentina","-23.5000, -66.5000",mine,unknown,,,"Ganfeng Lithium Group Co., Ltd.; Litio Minera Argentina S.A.",C,facilities/ARG/arg-mariana-fac.json
arg-muerto-north-fac,Muerto North Mine,ARG,Argentina,"Salta, Argentina","-25.4420, -67.1020",mine,unknown,Lithium,,Lithium South; Lithium South Development Corporation; NRG Metals,A,facilities/ARG/arg-muerto-north-fac.json
arg-pastos-grandes-fac,Pastos Grandes Mine,ARG,Argentina,"Salta, Argentina","-24.5730, -66.7010",mine,unknown,Lithium,,Ganfeng Lithium Co. Ltd.; Lithium Argentina (Argentina) Corp.,A,facilities/ARG/arg-pastos-grandes-fac.json
arg-reflejos-del-mar-mine-fac,Reflejos Del Mar Mine,ARG,Argentina,"Catamarca, Argentina","-28.4350, -65.4340",mine,unknown,Lithium,,Latin Resources Ltd,A,facilities/ARG/arg-reflejos-del-mar-mine-fac.json
arg-sal-de-vida-fac,Sal De Vida Mine,ARG,Argentina,"Catamarca, Argentina","-25.4094, -66.9124",mine,unknown,Lithium,,Allkem Ltd.; Galaxy Lithium (Sal de Vida) S.A.; Galaxy Resources Ltd.,A,facilities/ARG/arg-sal-de-vida-fac.json
arg-salar-de-olaroz-fac,Salar De Olaroz Mine,ARG,Argentina,"Jujuy, Argentina","-23.4624, -66.7025",mine,unknown,Lithium,,Allkem Limited; Jujuy Energía y Minería Sociedad del Estado; Sales de Jujuy S.A.; Toyota Tsusho Corporation,A,facilities/ARG/arg-salar-de-olaroz-fac.json
arg-salar-ratones-fac,Salar Ratones Mine,ARG,Argentina,"Salta, Argentina","-25.1640, -66.7500",mine,unknown,Lithium,,Eramet; Eramine,A,facilities/ARG/arg-salar-ratones-fac.json
aus-altura-fac,Altura Mine,AUS,Australia,"Western Australia, Australia","-20.5000, 118.9000",mine,unknown,Lithium,Copper; Gold; Iron ore; Silver; Tin,Altura Lithium Operations Pty Ltd; Altura Mining Limited; Pilbara Minerals Limited,A,facilities/AUS/aus-altura-fac.json
aus-bald-hill-central-fac,Bald Hill Central Mine,AUS,Australia,"Western Australia, Australia","-30.0000, 121.0000",mine,unknown,Lithium,Niobium; Tin,Alita Resources Ltd; Alliance Mineral Assets Ltd; Mineral Resources Ltd; Tawana Resources NL,A,facilities/AUS/aus-bald-hill-central-fac.json
aus-bellevue-fac,Bellevue Mine,AUS,Australia,"Western Australia, Australia","-28.5000, 120.5000",mine,unknown,Lithium,Gold; Nickel,Bellevue Gold Limited,A,facilities/AUS/aus-bellevue-fac.json
aus-british-king-fac,British King Mine,AUS,Australia,"Western Australia, Australia","-28.5000, 121.5000",mine,unknown,Lithium,Gold,Central Iron Ore; Red 5 Ltd,A,facilities/AUS/aus-british-king-fac.json
aus-central-norseman-mine-fac,Central Norseman Mine,AUS,Australia,"Western Australia, Australia","-32.1960, 121.7960",mine,unknown,Lithium,Cobalt; Gold; Nickel; Silver; Tantalum,Pantoro Limited; Tulla Resources,A,facilities/AUS/aus-central-norseman-mine-fac.json
aus-comet-vale-fac,Comet Vale Mine,AUS,Australia,"Western Australia, Australia","-29.9600, 121.1300",mine,unknown,Lithium,Bismuth; Caesium; Cobalt; Copper; Gold; Lanthanum; Lead; Nickel; Silver; Tungsten; Zinc,Gorilla Gold Mines Ltd,A,facilities/AUS/aus-comet-vale-fac.json
aus-finniss-fac,Finniss Mine,AUS,Australia,"Northern Territory, Australia","-12.7130, 130.7890",mine,unknown,Lithium,Niobium; Tin,Core Lithium Ltd,A,facilities/AUS/aus-finniss-fac.json
aus-forrestania-nickel-fac,Forrestania Nickel Mine,AUS,Australia,"Western Australia, Australia","-32.5810, 119.7370",mine,unknown,Lithium,Cobalt; Nickel,IGO Limited; Outokumpu Mining Australia Pty Ltd; Western Areas,A,facilities/AUS/aus-forrestania-nickel-fac.json
aus-golden-eagle-fac,Golden Eagle Mine,AUS,Australia,"Western Australia, Australia","-30.0440, 120.6590","mine, plant",unknown,Lithium,Gold,AIM Mining Corporation,A,facilities/AUS/aus-golden-eagle-fac.json
aus-golden-eagle-nullagine-fac,Golden Eagle Nullagine Mine,AUS,Australia,"Western Australia, Australia","-21.9650, 120.1240",mine,unknown,Lithium,Gold; Tantalum,AIM Mining Corporation; Calidus Resources; Millennium Minerals; Novo Resources,A,facilities/AUS/aus-golden-eagle-nullagine-fac.json
aus-greenbushes-mine-fac,Greenbushes Mine,AUS,Australia,"Western Australia, Australia","-33.7000, 116.1000",mine,unknown,Lithium,Kaolin; Tin,Albemarle Corporation; IGO Ltd.; Talison Lithium Australia Pty Ltd; Tianqi Lithium Corporation,A,facilities/AUS/aus-greenbushes-mine-fac.json
aus-higginsville-fac,Higginsville Mine,AUS,Australia,"Western Australia, Australia","-33.5000, 121.5000",mine,unknown,Lithium,Cobalt; Copper; Gold; Nickel; Palladium; Platinum,Karora Resources Inc.; Westgold Resources Ltd,A,facilities/AUS/aus-higginsville-fac.json
aus-kalgoorlie-gold-ops-fac,Kalgoorlie Gold Ops Mine,AUS,Australia,"Western Australia, Australia","-28.7000, 121.5000",mine,unknown,Lithium,Gold; Nickel; Niobium; Rubidium; Silver; Tantalum; Tin,Barrick Gold; Newmont Goldcorp; Northern Star Resources,A,facilities/AUS/aus-kalgoorlie-gold-ops-fac.json
aus-kathleen-valley-fac,Kathleen Valley Mine,AUS,Australia,"Western Australia, Australia","-26.5000, 120.5000",mine,unknown,Lithium,Gold,Liontown Resources Ltd,A,facilities/AUS/aus-kathleen-valley-fac.json
aus-mount-edwards-fac,Mount Edwards Mine,AUS,Australia,"Western Australia, Australia","-31.4630, 121.5320",mine,unknown,,Nickel,Consolidated Minerals; Estrella Resources; Neometals; Salt Lake Mining,C,facilities/AUS/aus-mount-edwards-fac.json
